Solver      Percent_conflict     Time_linear    Status_solve_linear     Decision_linear     Time_confComb    Status_solve_confComb      Decision_confComb
SCIP     28     0      OPTIMAL      263.0     0      OPTIMAL      249.0
CBC     28     0      OPTIMAL      263.0     0      OPTIMAL      249.0
GLOP     28     0      OPTIMAL      263.0     0      OPTIMAL      257.75
PDLP     28     0      OPTIMAL      263.0000000629665     0      OPTIMAL      257.7498269826206
SCIP     25     0      OPTIMAL      261.0     1      OPTIMAL      246.00000000000003
CBC     25     0      OPTIMAL      261.0     0      OPTIMAL      246.0
GLOP     25     0      OPTIMAL      261.0     0      OPTIMAL      254.88888888888889
PDLP     25     0      OPTIMAL      260.9999978907263     0      OPTIMAL      254.88881674357054
SCIP     29     0      OPTIMAL      258.0     1      OPTIMAL      241.00000000000003
CBC     29     0      OPTIMAL      258.0     2      OPTIMAL      241.0
GLOP     29     0      OPTIMAL      258.0     0      OPTIMAL      254.475
PDLP     29     0      OPTIMAL      258.0     0      OPTIMAL      254.47470643572703
SCIP     29     0      OPTIMAL      274.0     1      OPTIMAL      257.0
CBC     29     0      OPTIMAL      274.0     7      OPTIMAL      257.0
GLOP     29     0      OPTIMAL      274.0     0      OPTIMAL      270.2
PDLP     29     0      OPTIMAL      273.99999914595423     0      OPTIMAL      270.19999017916575
SCIP     25     0      OPTIMAL      270.0     0      OPTIMAL      264.0
CBC     25     0      OPTIMAL      270.0     0      OPTIMAL      264.0
GLOP     25     0      OPTIMAL      270.0     0      OPTIMAL      267.25
PDLP     25     0      OPTIMAL      270.0001382530205     0      OPTIMAL      267.2502398116581
SCIP     25     0      OPTIMAL      263.0     0      OPTIMAL      254.0
CBC     25     0      OPTIMAL      263.0     0      OPTIMAL      254.0
GLOP     25     0      OPTIMAL      263.0     0      OPTIMAL      260.5
PDLP     25     0      OPTIMAL      263.0000285097442     0      OPTIMAL      260.50047036356045
SCIP     28     0      OPTIMAL      259.0     0      OPTIMAL      247.00000000000003
CBC     28     0      OPTIMAL      259.0     0      OPTIMAL      247.0
GLOP     28     0      OPTIMAL      259.0     0      OPTIMAL      255.5
PDLP     28     0      OPTIMAL      259.0     0      OPTIMAL      255.49990283319346
SCIP     30     0      OPTIMAL      264.0     1      OPTIMAL      251.0
CBC     30     0      OPTIMAL      264.0     2      OPTIMAL      251.0
GLOP     30     0      OPTIMAL      264.0     0      OPTIMAL      263.0
PDLP     30     0      OPTIMAL      263.99998678861084     0      OPTIMAL      262.9999919705294
SCIP     30     0      OPTIMAL      261.0     1      OPTIMAL      234.0
CBC     30     0      OPTIMAL      261.0     7      OPTIMAL      234.0
GLOP     30     0      OPTIMAL      261.0     0      OPTIMAL      250.82051282051282
PDLP     30     0      OPTIMAL      261.0000000217233     0      OPTIMAL      250.82046742405552
SCIP     28     0      OPTIMAL      263.0     0      OPTIMAL      254.00000000000003
CBC     28     0      OPTIMAL      263.0     0      OPTIMAL      254.0
GLOP     28     0      OPTIMAL      263.0     0      OPTIMAL      257.5
PDLP     28     0      OPTIMAL      262.9999878597239     0      OPTIMAL      257.50013723154746
