Solver      Percent_conflict     Time_linear    Status_solve_linear     Decision_linear     Time_confComb    Status_solve_confComb      Decision_confComb
SCIP     28     0      OPTIMAL      553.0     1809      OPTIMAL      509.0
CBC     28     0      OPTIMAL      553.0     1014      OPTIMAL      509.0
GLOP     28     0      OPTIMAL      553.0     0      OPTIMAL      546.0
PDLP     28     0      OPTIMAL      552.9999997293703     7      OPTIMAL      546.0001865838125
SCIP     30     0      OPTIMAL      547.0     5992      OPTIMAL      496.0
CBC     30     0      OPTIMAL      547.0     7201      FEASIBLE      469.0
GLOP     30     0      OPTIMAL      547.0     0      OPTIMAL      541.125
PDLP     30     0      OPTIMAL      547.0000017053641     11      OPTIMAL      541.1249780329795
SCIP     30     0      OPTIMAL      539.0     1925      OPTIMAL      490.0000000000001
CBC     30     0      OPTIMAL      539.0     7201      FEASIBLE      435.0
GLOP     30     0      OPTIMAL      539.0     0      OPTIMAL      532.5
PDLP     30     0      OPTIMAL      538.9999925465772     7      OPTIMAL      532.4998365939703
SCIP     25     0      OPTIMAL      551.0     270      OPTIMAL      521.0
CBC     25     0      OPTIMAL      551.0     825      OPTIMAL      521.0
GLOP     25     0      OPTIMAL      551.0     0      OPTIMAL      542.8125
PDLP     25     0      OPTIMAL      551.0000178126188     15      OPTIMAL      542.8136481862396
SCIP     25     0      OPTIMAL      549.0     239      OPTIMAL      524.0
CBC     25     0      OPTIMAL      549.0     382      OPTIMAL      524.0
GLOP     25     0      OPTIMAL      549.0     0      OPTIMAL      542.25
PDLP     25     0      OPTIMAL      548.9999893976332     6      OPTIMAL      542.250344149536
SCIP     26     0      OPTIMAL      556.0     1303      OPTIMAL      514.0
CBC     26     0      OPTIMAL      556.0     686      OPTIMAL      514.0
GLOP     26     0      OPTIMAL      556.0     0      OPTIMAL      550.875
PDLP     26     0      OPTIMAL      556.0001633325658     7      OPTIMAL      550.875797176398
SCIP     29     0      OPTIMAL      553.0     1080      OPTIMAL      510.0
CBC     29     0      OPTIMAL      553.0     2364      OPTIMAL      510.0
GLOP     29     0      OPTIMAL      553.0     0      OPTIMAL      547.25
PDLP     29     0      OPTIMAL      553.0000294633519     8      OPTIMAL      547.2500960166353
SCIP     26     0      OPTIMAL      555.0     1109      OPTIMAL      526.0
CBC     26     0      OPTIMAL      555.0     755      OPTIMAL      526.0
GLOP     26     0      OPTIMAL      555.0     1      OPTIMAL      550.1293103448276
PDLP     26     0      OPTIMAL      554.9999694433919     44      OPTIMAL      550.1288608899486
SCIP     29     0      OPTIMAL      551.0     2041      OPTIMAL      506.99999999999994
CBC     29     0      OPTIMAL      551.0     7202      FEASIBLE      498.0
GLOP     29     0      OPTIMAL      551.0     0      OPTIMAL      544.1875
PDLP     29     0      OPTIMAL      550.9999132244005     16      OPTIMAL      544.1866498697477
SCIP     25     0      OPTIMAL      557.0     375      OPTIMAL      526.0
CBC     25     0      OPTIMAL      557.0     3011      OPTIMAL      526.0
GLOP     25     0      OPTIMAL      557.0     0      OPTIMAL      551.6666666666666
PDLP     25     0      OPTIMAL      557.0000030396195     7      OPTIMAL      551.6664487798744
