Solver      Percent_conflict     Time_linear    Status_solve_linear     Decision_linear     Time_confComb    Status_solve_confComb      Decision_confComb
SCIP     28     0      OPTIMAL      352.0     4      OPTIMAL      335.0
CBC     28     0      OPTIMAL      352.0     10      OPTIMAL      335.0
GLOP     28     0      OPTIMAL      352.0     0      OPTIMAL      347.1071428571429
PDLP     28     0      OPTIMAL      352.0     1      OPTIMAL      347.1077336044235
SCIP     27     0      OPTIMAL      365.0     8      OPTIMAL      344.0
CBC     27     0      OPTIMAL      365.0     46      OPTIMAL      344.0
GLOP     27     0      OPTIMAL      365.0     0      OPTIMAL      360.71005917159766
PDLP     27     0      OPTIMAL      364.99999505419436     0      OPTIMAL      360.7103252373438
SCIP     27     0      OPTIMAL      357.0     3      OPTIMAL      346.0
CBC     27     0      OPTIMAL      357.0     1      OPTIMAL      346.0
GLOP     27     0      OPTIMAL      357.0     0      OPTIMAL      352.45454545454544
PDLP     27     0      OPTIMAL      357.0000334710165     1      OPTIMAL      352.45466675040575
SCIP     25     0      OPTIMAL      361.0     3      OPTIMAL      344.0
CBC     25     0      OPTIMAL      361.0     2      OPTIMAL      344.0
GLOP     25     0      OPTIMAL      361.0     0      OPTIMAL      354.84615384615387
PDLP     25     0      OPTIMAL      361.00000305846976     0      OPTIMAL      354.84566115730524
SCIP     26     0      OPTIMAL      355.0     3      OPTIMAL      346.0
CBC     26     0      OPTIMAL      355.0     2      OPTIMAL      346.0
GLOP     26     0      OPTIMAL      355.0     0      OPTIMAL      352.0
PDLP     26     0      OPTIMAL      354.9999991202566     0      OPTIMAL      351.99996135629226
SCIP     26     0      OPTIMAL      366.0     8      OPTIMAL      343.99999999999994
CBC     26     0      OPTIMAL      366.0     20      OPTIMAL      344.0
GLOP     26     0      OPTIMAL      366.0     0      OPTIMAL      360.875
PDLP     26     0      OPTIMAL      366.00000313918224     0      OPTIMAL      360.8751254791104
SCIP     29     0      OPTIMAL      368.0     6      OPTIMAL      349.0
CBC     29     0      OPTIMAL      368.0     20      OPTIMAL      349.0
GLOP     29     0      OPTIMAL      368.0     0      OPTIMAL      365.0
PDLP     29     0      OPTIMAL      367.999999998167     0      OPTIMAL      365.0001264634153
SCIP     27     0      OPTIMAL      361.0     3      OPTIMAL      346.0
CBC     27     0      OPTIMAL      361.0     21      OPTIMAL      346.0
GLOP     27     0      OPTIMAL      361.0     0      OPTIMAL      354.77777777777777
PDLP     27     0      OPTIMAL      361.0     1      OPTIMAL      354.7781315304388
SCIP     26     0      OPTIMAL      360.0     3      OPTIMAL      347.0
CBC     26     0      OPTIMAL      360.0     4      OPTIMAL      347.0
GLOP     26     0      OPTIMAL      360.0     0      OPTIMAL      356.0
PDLP     26     0      OPTIMAL      360.00000000000006     0      OPTIMAL      356.0005830079941
SCIP     30     0      OPTIMAL      358.0     16      OPTIMAL      330.0
CBC     30     0      OPTIMAL      358.0     31      OPTIMAL      330.0
GLOP     30     0      OPTIMAL      358.0     0      OPTIMAL      352.8333333333333
PDLP     30     0      OPTIMAL      358.0000125981762     1      OPTIMAL      352.8333182637133
