Solver      Percent_conflict     Time_linear    Status_solve_linear     Decision_linear     Time_confComb    Status_solve_confComb      Decision_confComb
SCIP     28     0      OPTIMAL      165.0     0      OPTIMAL      165.0
CBC     28     0      OPTIMAL      165.0     0      OPTIMAL      165.0
GLOP     28     0      OPTIMAL      165.0     0      OPTIMAL      165.0
PDLP     28     0      OPTIMAL      165.0     0      OPTIMAL      165.0
SCIP     28     0      OPTIMAL      161.0     0      OPTIMAL      156.0
CBC     28     0      OPTIMAL      161.0     0      OPTIMAL      156.0
GLOP     28     0      OPTIMAL      161.0     0      OPTIMAL      158.0
PDLP     28     0      OPTIMAL      161.00000000059865     0      OPTIMAL      158.00010856811383
SCIP     28     0      OPTIMAL      159.0     0      OPTIMAL      155.0
CBC     28     0      OPTIMAL      159.0     0      OPTIMAL      155.0
GLOP     28     0      OPTIMAL      159.0     0      OPTIMAL      158.0
PDLP     28     0      OPTIMAL      159.0     0      OPTIMAL      157.99994828947104
SCIP     30     0      OPTIMAL      165.0     0      OPTIMAL      160.0
CBC     30     0      OPTIMAL      165.0     0      OPTIMAL      160.0
GLOP     30     0      OPTIMAL      165.0     0      OPTIMAL      162.5
PDLP     30     0      OPTIMAL      165.00000006466158     0      OPTIMAL      162.49993597680842
SCIP     25     0      OPTIMAL      176.0     0      OPTIMAL      176.0
CBC     25     0      OPTIMAL      176.0     0      OPTIMAL      176.0
GLOP     25     0      OPTIMAL      176.0     0      OPTIMAL      176.0
PDLP     25     0      OPTIMAL      176.00000220990037     0      OPTIMAL      176.0
SCIP     29     0      OPTIMAL      169.0     0      OPTIMAL      162.0
CBC     29     0      OPTIMAL      169.0     0      OPTIMAL      162.0
GLOP     29     0      OPTIMAL      169.0     0      OPTIMAL      164.0
PDLP     29     0      OPTIMAL      169.0     0      OPTIMAL      163.9999779069783
SCIP     28     0      OPTIMAL      169.0     0      OPTIMAL      160.0
CBC     28     0      OPTIMAL      169.0     0      OPTIMAL      160.0
GLOP     28     0      OPTIMAL      169.0     0      OPTIMAL      162.85714285714286
PDLP     28     0      OPTIMAL      169.0     0      OPTIMAL      162.857130254718
SCIP     30     0      OPTIMAL      165.0     0      OPTIMAL      154.0
CBC     30     0      OPTIMAL      165.0     0      OPTIMAL      154.0
GLOP     30     0      OPTIMAL      165.0     0      OPTIMAL      160.75
PDLP     30     0      OPTIMAL      165.0     0      OPTIMAL      160.75004536990724
SCIP     27     0      OPTIMAL      168.0     0      OPTIMAL      168.0
CBC     27     0      OPTIMAL      168.0     0      OPTIMAL      168.0
GLOP     27     0      OPTIMAL      168.0     0      OPTIMAL      168.0
PDLP     27     0      OPTIMAL      167.9999799353296     0      OPTIMAL      168.0
SCIP     25     0      OPTIMAL      166.0     0      OPTIMAL      157.0
CBC     25     0      OPTIMAL      166.0     0      OPTIMAL      157.0
GLOP     25     0      OPTIMAL      166.0     0      OPTIMAL      165.0
PDLP     25     0      OPTIMAL      166.0     0      OPTIMAL      164.9999667800255
