Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_25   25   6235   OPTIMAL   441.0   252219   -5715   1395.9183673469388
task_1_n_25   29   193235   OPTIMAL   417.0   343239   -8822   2215.587529976019
task_2_n_25   28   94300   OPTIMAL   421.0   323106   -9829   2434.6793349168647
task_3_n_25   27   22267   OPTIMAL   418.0   295221   -6798   1726.3157894736842
task_4_n_25   25   14961   OPTIMAL   435.9999999999999   300789   -3739   957.5688073394498
task_5_n_25   26   20277   OPTIMAL   443.0   279938   -3733   942.6636568848759
task_6_n_25   26   78250   OPTIMAL   419.0   278013   -7728   1944.3914081145585
task_7_n_25   28   11929   OPTIMAL   437.99999999999994   308748   -5787   1421.232876712329
task_8_n_25   28   90511   OPTIMAL   421.0   338955   -8771   2183.372921615202
task_9_n_25   27   83412   OPTIMAL   431.0   301642   -7806   1911.1368909512762
