Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_20   28   8555   OPTIMAL   339.0   135384   -1783   625.9587020648968
task_1_n_20   25   2304   OPTIMAL   349.0   97996   -2774   894.8424068767908
task_2_n_20   26   2958   OPTIMAL   341.0   117475   -793   332.55131964809385
task_3_n_20   28   7834   OPTIMAL   331.0   137172   -805   343.202416918429
task_4_n_20   26   2582   OPTIMAL   336.00000000000017   107400   -2786   929.1666666666662
task_5_n_20   26   6109   OPTIMAL   344.0   109393   -1826   630.8139534883721
task_6_n_20   25   5128   OPTIMAL   346.0   98134   -1814   624.2774566473988
task_7_n_20   27   3366   OPTIMAL   340.0   120121   -1781   623.8235294117648
task_8_n_20   26   5050   OPTIMAL   347.0   108925   -1782   613.5446685878962
task_9_n_20   25   1653   OPTIMAL   353.0   100985   156   55.80736543909349
