Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_10   26   33   OPTIMAL   162.0   5535   141   12.962962962962964
task_1_n_10   30   41   OPTIMAL   158.0   7883   138   12.658227848101266
task_2_n_10   27   22   OPTIMAL   166.0   6100   146   12.048192771084338
task_3_n_10   27   27   OPTIMAL   164.0   6845   137   16.463414634146343
task_4_n_10   30   26   OPTIMAL   153.0   7306   120   21.568627450980394
task_5_n_10   26   29   OPTIMAL   160.0   5304   147   8.125
task_6_n_10   27   187   OPTIMAL   163.99999999999997   6658   141   14.024390243902424
task_7_n_10   28   26   OPTIMAL   158.0   6718   143   9.49367088607595
task_8_n_10   29   56   OPTIMAL   153.0   7477   130   15.032679738562091
task_9_n_10   25   22   OPTIMAL   164.0   5336   154   6.097560975609756
