Task Percent_conflict Time_SCIP Status_solve_SCIP Decision_SCIP Time_LS Decision_LS ErrorRate
task_2_0_n_15 25 737 OPTIMAL 254.0 31904 143 43.7007874015748
task_2_1_n_15 28 553 OPTIMAL 249.0 41426 -848 440.56224899598396
task_2_2_n_15 29 1273 OPTIMAL 244.99999999999997 43310 -845 444.8979591836735
task_2_3_n_15 27 179 OPTIMAL 260.0 41659 -817 414.2307692307692
task_2_4_n_15 26 255 OPTIMAL 257.0 34531 182 29.182879377431906
task_2_5_n_15 28 1046 OPTIMAL 247.9999999999999 43763 -843 439.91935483870986
task_2_6_n_15 26 1071 OPTIMAL 255.0 34216 -826 423.921568627451
task_2_7_n_15 25 124 OPTIMAL 253.0 32582 169 33.201581027667984
task_2_8_n_15 29 1213 OPTIMAL 242.0 43495 112 53.71900826446281
task_2_9_n_15 27 165 OPTIMAL 258.0 37750 -830 421.70542635658916
